Sam Boyd Stadium,UNLV,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/UNLVSamBoydStadium.jpg/80px-UNLVSamBoydStadium.jpg,Whitney,NV,Mountain West,1971,36800,44615,2006
Sanford Stadium,Georgia,http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SanfordNorthStandsPanorama.jpg/80px-SanfordNorthStandsPanorama.jpg,Athens,GA,SEC,1929,92746,92746,
Scheumann Stadium,Ball State,http://upload.wikimedia.org/wikipedia/en/thumb/0/07/Scheumann_Stadium.jpg/80px-Scheumann_Stadium.jpg,Muncie,IN,MAC,1967,22500,23861,
Scott Stadium,Virginia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Scott_Stadium_panorama_2003.jpg/80px-Scott_Stadium_panorama_2003.jpg,Charlottesville,VA,ACC,1931,61500,64947,2008
Skelly Field at H. A. Chapman Stadium,Tulsa,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HA-Chapman-Stadium-Tulsa.JPG/80px-HA-Chapman-Stadium-Tulsa.JPG,Tulsa,OK,American,1930,35542,47350,1987
Sonny Lubick Field at Hughes Stadium,Colorado State,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Hughes_Stadium%2C_Fort_Collins%2C_CO.jpg/80px-Hughes_Stadium%2C_Fort_Collins%2C_CO.jpg,Fort Collins,CO,Mountain West,1968,34400,39107,1994
Spartan Stadium,Michigan State,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/SpartanStadiumA.jpg/80px-SpartanStadiumA.jpg,East Lansing,MI,Big Ten,1923,75005,80401,1990
Spartan Stadium,San Jose State,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/SS_pan.jpg/80px-SS_pan.jpg,San Jose,CA,Mountain West,1933,30456,31681,2003
Stanford Stadium,Stanford,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Stanford_Stadium_field_6.JPG/80px-Stanford_Stadium_field_6.JPG,Stanford,CA,Pac-12,2006,50000,51607,2010
Summa Field at InfoCision Stadium,Akron,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/InfoCision_opening_day2.JPG/80px-InfoCision_opening_day2.JPG,Akron,OH,MAC,2009,30000,27881,
